迷宫挑战,,,,,,,
天然要害沙斯塔夏溶洞,/p,"注意：由于此副本为新人第一个开启的迷宫挑战，故此攻略说明较为详细，回坑玩家请简单看看。
· 当前副本：天然要害沙斯塔夏溶洞
· 攻略来源：灰机Wiki
————————开始前的注意事项—————————
请T（蓝色图标）检查自己的盾姿是否开启
请N（绿色图标）、DPS（红色图标）等待T开怪以避免仇恨到自己身上
若出现OT（非防护职业成为怪物的攻击目标），请将怪引到T附近，T及时挑衅
请所有人确保已经将自己的技能拖到热键栏当中","——————————锐牙长须豹——————————
请触摸珊瑚开启机关（正确的颜色记载于路途上的笔记当中）
在BOSS血量分别掉至70%、40%、20%以下时，会释放蓄能晶须
蓄能晶须：生成一个自身中心范围5米的AOE（俗称钢铁），被击中后会中麻痹Debuff，请及时避开。（可被眩晕类技能打断）","——————————麦迪逊船长——————————
无特殊机制。BOSS在50%血量时会落荒而逃","——————————海虎牙 邓恩——————————
当BOSS血量降至80%后，会提示“水面出现了很多气泡”，请查看“奇怪的涟漪”是否有水柱冒出，有的话请前去右键点击“奇怪的涟漪”处理机制
当BOSS血量降至60%后，会再一次产生水柱，此次将有三处产生水柱，请至少两位队员前去处理
当BOSS血量降至40%后，会最后一次产生水柱，这次所有点都将产生水柱，请所有人都前去处理
BOSS会释放默水球，请躲避不要被击中
由于当前装等过高，因此以上机制也可以不用去管，直接输出BOSS即可，DPS记得使用极限技（俗称LB，在技能菜单→共通技能当中）
——————————————————————————
在打完本后不要忘记给队友发一句“辛苦了”。如果是随机的队友也请记得给队友一个免费的赞，国服一般默认对位互赞（T→N，DPS→DPS）。
——————————————————————————",,
地下灵殿塔姆·塔拉墓园,/p,"· 当前副本：地下灵殿塔姆·塔拉墓园
· 攻略来源：灰机Wiki
————————开始前的注意事项—————————
请T（蓝色图标）检查自己的盾姿是否开启
请N（绿色图标）、DPS（红色图标）等待T开怪以避免仇恨到自己身上
若出现OT（非防护职业成为怪物的攻击目标），请将怪引到T附近，T及时挑衅
请所有人确保已经将自己的技能拖到热键栏当中","———————————虚无魂魔——————————
先击杀连线小怪，同时躲避AOE，击杀BOSS后触摸水晶","——————————主宰者 加尔梵斯——————————
优先击杀连线小怪，T记得拉住其他小怪，同时注意躲开BOSS的AOE
由于当前装等过高，因此以上机制也可以不用去管，直接输出BOSS即可，DPS记得使用极限技（俗称LB，在技能菜单→共通技能当中）
——————————————————————————
在打完本后不要忘记给队友发一句“辛苦了”。如果是随机的队友也请记得给队友一个免费的赞，国服一般默认对位互赞（T→N，DPS→DPS）。
——————————————————————————",,,
,,,,,,,
,,,,,,,
团队任务,,,,,,,
水晶塔 古代人迷宫,/a,"· 当前副本：水晶塔 古代人迷宫
· 攻略来源：灰机Wiki
————————开始前的注意事项—————————
请T（蓝色图标）检查自己的盾姿是否开启
请N（绿色图标）、DPS（红色图标）等待T开怪以避免仇恨到自己身上
若出现OT（非防护职业成为怪物的攻击目标），请将怪引到T附近，T及时挑衅
请所有人确保已经将自己的技能拖到热键栏当中","———————————骸骨龙———————————
召唤小怪：请尽可能拉到场地边缘，远离BOSS后击杀
BOSS复活：集中火力击杀小怪和BOSS，一旦小怪接触BOSS后释放全屏AOE，请注意治疗","———————————阿托莫斯——————————
请注意自己所属的小队，从左至右依次为A、B、C队，每队需要有四名队员踩在有颜色的地板上，其余四人对BOSS及小怪进行输出","———————————塔纳托斯——————————
请具有Debuff（星极体）的人攻击BOSS，其余的人清理场上的小怪
优先击杀攻击魔法壶的小怪，魔法壶可以被治疗，请确保其存活","——————————贝希摩斯王——————————
在场地四周有四个电塔,需要周期性将其关闭,否则全场会有越来越高的AOE伤害
若头上出现绿色标记,请找中场附近远离小怪的地方放陨石
当BOSS读条黄道陨石时,请躲到陨石后规避伤害，并且请小怪当前第一仇恨的人不要将面向对向人群和陨石","————————————提坦———————————
请注意自己所属的小队，从左至右依次为A、B、C队
开场：请MT把BOSS拉到中场靠前位置，方便其他人跑位
BOSS读条普通技能：地上有范围提示，躲避即可
小怪出现：集火小怪解救被困的人
BOSS读条远古核爆：前往自己所在小队的位置集合开启防御罩，并且击杀小怪
——————————————————————————"
水晶塔 希尔科斯塔,/a,"· 当前副本：水晶塔 希尔科斯塔
· 攻略来源：灰机Wiki
————————开始前的注意事项—————————
请T（蓝色图标）检查自己的盾姿是否开启
请N（绿色图标）、DPS（红色图标）等待T开怪以避免仇恨到自己身上
若出现OT（非防护职业成为怪物的攻击目标），请将怪引到T附近，T及时挑衅
请所有人确保已经将自己的技能拖到热键栏当中","————————妖艳无比的六兽妖—————————
刷新法杖：不用转火处理，躲避其释放的钢铁/月环即可
电球点名：请把球引导至场地三个光柱进行充能，每根可充能三次
冰球点名：请前往水圈外且不要过于靠近BOSS的地方被冰球冻结，等待火球点名解冻
火球点名：请把球引导至被冰球冻结的玩家，对其解冻
古代核爆：全屏大伤害AOE，请进入水圈减少伤害
破晓：全屏石化攻击，请每队激活自己方位的光柱生成一个反射罩处理，之后会出现若干小怪，击杀即可","————————金刚不坏的守护者—————————
亚拉戈发条工匠截断连线后才可被击杀，因此请一人站进小圈里截断连线，另一人击杀
在当前装等下，可以不用处理机制，直接集火BOSS即可","—————————才思敏捷的亚蒙—————————
出现小怪：请优先击杀魔科学物质66
紫球点名：请带球撞库姆库姆使他变小，变小后击杀
变成青蛙：注意躲蛇，青蛙可以释放技能解冻，但记得留点冰块处理之后的核爆
古代核爆：请前往冰块后躲避","——————————始皇帝赞德——————————
黄圈：踩塔
上天转场：在陨石降落前把流星魔纹打掉
绝对统治：有黑圈提示，此处为分摊并非分散！请所有人在BOSS背后集合，之后会出现蓝圈
古代爆震：全屏AOE，需要在站在蓝圈内漂浮规避
——————————————————————————",
水晶塔 暗之世界,/a,"· 当前副本：水晶塔 暗之世界
· 攻略来源：灰机Wiki
————————开始前的注意事项—————————
请T（蓝色图标）检查自己的盾姿是否开启
请N（绿色图标）、DPS（红色图标）等待T开怪以避免仇恨到自己身上
若出现OT（非防护职业成为怪物的攻击目标），请将怪引到T附近，T及时挑衅
请所有人确保已经将自己的技能拖到热键栏当中","——————————安哥拉·曼纽——————————
双重视线：BOSS释放半场红白两种颜色的AOE，同种颜色不可吃两次（第一次吃红，第二次就吃白）
死亡视线：BOSS身上出现眼睛的标志，需要背对处理，否则会赋予死亡宣告Debuff
死亡宣告Debuff：需要踩发光的地板解除，否则时间结束立刻去世
100级核爆/150级即死：点名一人止步，并出现AOE圈，远离即可
死亡沙漏/小怪：出现后直接集火击杀即可","———————————五头巨龙——————————
火之吐息：点名一人释放圆形AOE，之后出现【龙火飞蜥】，会连线玩家释放火球，需要触碰其他玩家进行传线，直到【龙火飞蜥】消失
雷之吐息：点名一人出现紫色标记，需要分摊
毒之吐息：圆形AOE，判定后变成毒沼，毒沼会生成小粘液怪，请及时击杀小粘液怪
光之吐息：圆形AOE，判定后生成日珥，请迅速集火消灭
冰之吐息：圆形AOE，判定后会有两端扩散，请迅速远离（扩散范围很大尽可能走远）
咆哮五重奏：全屏大伤害AOE并出现五个龙头，请立刻全部打掉减少AOE威力
延音：点名一人出现黄色标记，释放大范围AOE，请远离人群
热浪：全屏AOE并附加热病Debuff（效果存在期间需要停手，否则会造成大量伤害）","—————————奇声的阿托莫斯—————————
请注意自己所属的小队，从左至右依次为A、B、C队
白洞：点名一人吸入，并对人群释放扇形AOE，请远离（被点名的人可以自己跳下平台防止被吸入）
震荡波：以自身为中心释放全屏击退，请前往正中心防止被击退
出现小怪：集火击杀即可
若不慎掉下平台，请踩发光地板重新回到平台","——————————刻耳柏洛斯——————————
通常情况下B队T担任MT，A队喂狗，C队T拉小怪【狼毒乌头】
摆尾：对后方释放扇形AOE，读条很快，建议所有人远离BOSS背后
胃液：在场地上释放一个紫色的胃液球，请不要攻击！喂狗的队伍请前往胃液球附近变小
唾液飞溅：圆形AOE，判定后产生唾液和【狼毒乌头】，喂狗的队伍变小后进入其中等待BOSS吃掉
狼毒乌头：请C队T立刻挑衅拉住小怪，其会对变小的人造成秒杀伤害
喂狗：进入BOSS肚子后T拉住生成的小怪，DPS迅速消灭小怪和胃壁，打完之后会离开BOSS肚子
复原：喂狗队伍处理完后会读条此技能，造成全屏秒杀伤害，需要用场地两侧的锁链栓住BOSS
地狱冲：向前冲锋并造成大量伤害，请远离BOSS正面
狂吠：全屏AOE，并点名几名玩家赋予孤独感Debuff，请这些玩家集合消除","———————————暗黑之云——————————
潜地式波动炮：点名一人释放多段连续跟踪AOE，请该玩家远离人群引导直到攻击结束
零式波动炮：BOSS随机到场地一边释放巨宽直线AOE，请到BOSS两侧规避
波动爆炸：踩塔，人数达到时地板圆形区域会发光
黑暗泛滥：生成暗云和大暗云，请立刻转火消灭，站在BOSS和暗云之间能够减慢暗云的移动速度
波动放射：BOSS消失，场地出现三个波动云并产生防护罩，请每个波动云的人数尽量平均，及时击杀
——————————————————————————"
魔航船虚无方舟,/a,"· 当前副本：魔航船虚无方舟
· 攻略来源：灰机Wiki、素素攻略站
———————————刻托斯———————————
猛撞：随机点名一名玩家，会显示一个黄圈技能范围，离开黄圈
水化炮：对当前一仇施放直线范围攻击，请其他人远离正面
带电扫尾：BOSS后方扇形AOE，远离BOSS背后
电漩涡：月环，靠近BOSS
驱逐：钢铁，远离BOSS
沉浸：全体攻击+随机水圈点名，离开水圈
弓鲛幼体：召唤小怪，随机点名玩家释放“一咬脱离”，伤害随距离增加而增大，请迅速击杀小怪
共生：出现小怪，BOSS上天（无敌），同时随机点名玩家进行冲锋（头顶出现绿色标记）。请被点名玩家远离人群，诱导BOSS至最外圈
飨宴之吼：全体眩晕，请被拉向场中的玩家攻击“水化核心”，被向外击退的玩家攻击“水化球体”","—————————天柱树+锯齿花—————————
仇恨分配推荐：A队T拉【锯齿花】，B队T拉【天柱树】，C队T拉剩下的小怪
同时请注意BOSS身上的「远程物理攻击无效化」或「魔法攻击无效化」，不要进行无效输出
捕食：地面出现技能效果，请及时远离
均衡打击：【锯齿花】后方扇形AOE攻击
粘液喷雾：【锯齿花】钢铁，连线玩家不可移动，等待其他玩家撞断
粘液爆弹：【锯齿花】点名随机玩家释放圆形AOE，连线玩家不可移动，等待其他玩家撞断
白色吐息：【锯齿花】前方扇形AOE攻击，请注意面向远离正面
踩踏怒震：【锯齿花】全屏秒杀AOE，请到天柱树后回避
异界妖气：【天柱树】钢铁
根茎风暴：【天柱树】全屏AOE
","———————————丘库雷因——————————
腐蚀咬：对当前一仇读条释放扇形AOE，可回避
虫毒瘴：圆形AOE，躲避即可
触手轰击：触手所在位置直线AOE
不净之塔：BOSS在四个高台召唤出四个不净之塔，请迅速击杀，奶妈记得抬血
胆汁弥漫：BOSS造成全屏AOE伤害，请站在周围的四个高台进行回避
虚无契约：BOSS无敌，请迅速击杀出现在台子上的【弗帕】
吸引：BOSS对随机面向发动扇形攻击，请玩家远离，小怪一仇拉走小怪不要吃到
瘟疫：击杀所有【弗帕】后，BOSS释放全屏高伤害AOE，请奶妈记得抬血
黑肺：为全员附加Debuff
黑黏痰：出现后请玩家撞掉，但不要撞很多，2-3个就可以了","———————————艾奇德娜——————————
镰刀强击：对当前一仇单体高伤害，请注意开启减伤
镰刀挥舞：直线AOE，躲避即可
深渊收割：钢铁，远离BOSS
恶魔下坠：分摊，人群集合
石化：请背对BOSS
分裂、合体：BOSS分裂出【左邪蛇】和【右妖蛇】，三者距离过近时会产生连线强化，请T及时拉开（推荐A队T拉【艾奇德娜】去左，B队T拉【左邪蛇】去中，C队T拉【右妖蛇】去右）
蛇形冲击：【左邪蛇】和【右妖蛇】直线AOE
焦热地狱：【左邪蛇】和【右妖蛇】被击杀后出现的圆形AOE，躲避即可
血卫：BOSS召唤小怪，同时释放死亡冲击（直线范围AOE，可被眩晕类技能打断），请优先击杀小怪，同时注意背对BOSS的「石化」
血腥收获：BOSS上天（无敌），地面出现圆形AOE，躲避即可
——————————————————————————",,
禁忌城邦玛哈,/a,"· 当前副本：魔航船虚无方舟
· 攻略来源：灰机Wiki、素素攻略站
———————————阿剌克涅——————————
暗之刺爪：对当前一仇单体大伤害
喷吐蛛丝：BOSS后方扇形AOE，远离BOSS背后",,,,,
